name,price,sale_price,store,date
"100 % sveži pomarančni sok, Gropper, 1 l",3.99,,Mercator,2026-01-02 00:00:00
100--bucno-olje-gea-025-l,8.29,,Tus,2026-01-02 00:00:00
"100% ARAŠIDOV NAMAZ KREMNI GO ON NUTRITION, SANTE, 900G",10.49,,Spar,2026-01-02 00:00:00
"100% ARAŠIDOV NAMAZ S KOŠČKI ARAŠIDOV GO ON NUTRITION, SANTE, 900G",10.49,,Spar,2026-01-02 00:00:00
"100% BIO JABOLČNI SOK, SPAR NATUR*PUR, 1L",1.79,,Spar,2026-01-02 00:00:00
"100% BIO JABOLČNI SOK, SPAR PREMIUM, 1L",3.39,,Spar,2026-01-02 00:00:00
"100% BIO KOKOSOVA VODA, AQUAVERDE, 1L",3.49,,Spar,2026-01-02 00:00:00
"100% BIO MOTNI JABOLČNI SOK, SPAR PREMIUM, 1L",3.43,,Spar,2026-01-02 00:00:00
"100% BIO OLJE ČRNE KUMINE, HLADNO STISKANO, GEA, 0,25L",15.48,,Spar,2026-01-02 00:00:00
"100% BIO POMARANČNI SOK, SPAR NATUR*PUR, 0,75L",2.7,,Spar,2026-01-02 00:00:00
"100% BIO SOK ARONIJE, MEDITERRA, 0,5L",5.49,,Spar,2026-01-02 00:00:00
"100% BIO SOK ARONIJE, MEDITERRA, 1L",10.98,,Spar,2026-01-02 00:00:00
"100% BIO SOK ARONIJE, MEDITERRA, 3L",19.9,,Spar,2026-01-02 00:00:00
"100% BIO SOK IZ KOKOSA COCO, DR. ANTONIO MARTINS, 500ML",3.38,,Spar,2026-01-02 00:00:00
"100% BIO SOK IZ KOKOSA COCO, DR. MARTINS, 1L",5.29,,Spar,2026-01-02 00:00:00
"100% BIO SOK JABOLKO, HIPP, 200ML",1.75,,Spar,2026-01-02 00:00:00
"100% BIORAZGRADLJIVE SOFT KRPICE TO.TO, TOSAMA, 60/1",4.99,,Spar,2026-01-02 00:00:00
"100% BISTRI SOK JABOLKO SUPERIOR, FRUCTAL, 1L",2.29,,Spar,2026-01-02 00:00:00
"100% CIKORIJA, KAVNI NADOMESTEK BIANKA, FRANCK, 125G",3.18,,Spar,2026-01-02 00:00:00
"100% ČISTI KREATIN, PROTEINI.SI, 200G",11.99,,Spar,2026-01-02 00:00:00
"100% GROZDNI SOK, COLNAR, 0,75L",3.79,,Spar,2026-01-02 00:00:00
"100% JABOLČNI MOTNI SOK, FRUCTAL SUPERIOR, 1L",2.08,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK BISTRI, SMODIN, 0,7L",2.59,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK HAPPY DAY, RAUCH, 1,5L",2.69,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK HAPPY DAY, RAUCH, 1L",2.29,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK, DANA, 200ML",0.59,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK, FRUCTAL, 0,33L",1.29,,Spar,2026-01-02 00:00:00
"100% JABOLČNI SOK, FRUCTAL, 0,75L",1.99,,Spar,2026-01-02 00:00:00
"100% LIMONIN SOK IZ SICILIJE, POLENGHI, 200ML",1.73,,Spar,2026-01-02 00:00:00
"100% NARAVNA ZOBNA PASTA JUNIOR, L´ANGELICA, 50ML",3.15,,Spar,2026-01-02 00:00:00
