PROIZVOD,SPAR_CENA,MERKATOR_CENA,TUS_CENA,NAJCENEJSI,RAZLIKA_EUR
Suhe Marelice Natura 200g,2.29,,2.49,spar,0.20
Suhi mango, Benefruit, 100 g,4.49,4.49,,merkator,0.00
BIO MLETI OREHI, SPAR NATUR*PUR, 200G,2.99,,2.49,tus,0.50
POMARANČE, S-BUDGET, 2KG, PAKIRANO,2.99,,3.19,spar,0.20
Kislo Zelje Tuš pakirano 1 kg,1.89,,1.89,spar,0.00
Slive suhe Marjan voče, brez koščic, 500 g,3.59,5.99,3.99,spar,2.40
Bio suhe fige, Noberasco, 200 g,4.29,4.29,,merkator,0.00
Bio laneno seme, Biotop, 400 g,2.97,2.99,,spar,0.02
CHIA SEMENA, VIVIO, 500G,5.29,,3.99,tus,1.30
Praženi Indijski Oreščki Natura 150g,4.29,,5.29,spar,1.00
Brusnice Iz kamr'ce, suhe, 100 g,1.99,,2.09,spar,0.10
Mandlji Iz kamr'ce, jedrca, 150 g,3.29,,3.99,spar,0.70
Arašidi Ültje, praženi in soljeni, 450 g,4.99,,5.19,spar,0.20
Arašidi pečeni v pečici, Ultje, 180 g,3.69,3.19,3.89,merkator,0.70
Arašidi Ültje, praženi in soljeni v pločevinki, 180 g,2.99,,3.09,spar,0.10
ARAŠIDI SUHO PRAŽENI SOLJENI, ODLIČNO, 200G...,1.79,1.79,2.19,merkator,0.40
BIO BUČNA SEMENA, GEA, 190G,3.97,,4.19,spar,0.22
ŠTUDENTSKA HRANA S-BUDGET, 200G,1.79,,3.29,spar,1.50
Suhe fige, Odlično, 200 g,3.38,3.39,,spar,0.01
BIO MANGO, ODLIČNO, 150G,4.68,,4.99,spar,0.31
SUHE SLIVE BREZ KOŠČICE, ODLIČNO, 200G,3.89,,2.39,tus,1.50
ARAŠIDI PRAŽENI IN NESOLJENI PUR, ÜLTJE, 200G...,2.78,,2.77,tus,0.01
Slive suhe Odlično, brez koščic, 250g,2.79,,3.58,spar,0.79
Kislo zelje, Droga, 660 g,2.59,2.69,2.69,spar,0.10
Fižol češnjevec slovensko s podeželja, 1kg,6.19,,7.99,spar,1.80
ŠTUDENTSKA HRANA PUR, ÜLTJE, 150G,4.29,,4.29,spar,0.00
SUHE BRUSNICE, SPAR, 200G,1.89,,1.99,spar,0.10
Bio indijski oreščki, Odlično, 150 g,4.99,5.29,3.59,tus,1.70
Bio suhe jagode aronije, Mediterra, 200 g,5.99,6.19,,spar,0.20
Jurčki Darovi gozdov, suhi original, 50g,5.28,5.29,5.49,spar,0.21
Indijski oreščki, Bimed, 150 g,3.59,3.59,,merkator,0.00
ARAŠIDI PRAŽENI IN SOLJENI, ODLIČNO, 500G...,3.56,4.19,,spar,0.63
OREHOVA JEDRCA, ODLIČNO, 500G,8.79,,9.79,spar,1.00
Fileti paprike, Natureta, 530g,2.19,2.49,2.29,spar,0.30
Pražena Soljena Pistacija Ültje 150 g,4.99,,4.99,spar,0.00
Bio čičerika, Biotop, 500 g,3.28,3.28,,merkator,0.00
Mehke suhe slive brez koščic, Seeberger, 200 g,4.29,4.99,3.39,tus,1.60
Beli Fižol Gradiščanec 1kg,2.93,,2.99,spar,0.06
Suhe brusnice, Seeberger, 125 g,3.39,3.39,,merkator,0.00
Kislo zelje, Natureta, 4 x 1 kg,11.49,11.99,3.29,tus,8.70
Nesoljeni Praženi Arašidi Odlično 200 g,0.95,,1.99,spar,1.04
Suhe fige, Seeberger, 200 g,5.49,5.99,,spar,0.50
Suhi ananas v koščkih, Odlično, 250 g,3.69,3.89,,spar,0.20
Suhe brusnice, Odlično, 100 g,1.79,1.79,,merkator,0.00
NASTRGANI MANDLJI SPAR, 200G,2.15,,2.99,spar,0.84
Ketchup Natureta pizza, 1kg,3.19,,3.79,spar,0.60
Suho sadje Tropsko sadje, Odlično, 250 g,3.68,3.69,,spar,0.01
Rjava leča, Natura Classica, 500 g,4.09,4.19,4.29,spar,0.20
Suhe marelice, Odlično, 250 g,4.68,4.69,,spar,0.01
Napolitanke Jadro, kokos, 200g,1.29,,1.85,spar,0.56
MANDLJI NASTRGANI V LISTIČE, DR. OETKER, 100G...,4.39,4.44,4.69,spar,0.30
100% SOK RDEČA PESA, FRUCTAL NATURA, 0,7L...,3.19,3.99,2.99,tus,1.00
